Id,Title,StaringActorId,ActorAgeGapId,AgeGapDefinition,Genres,NumberOfVotes,Rating,Success
1,It's a Wonderful Life,12534,4,30s,"Drama,Family,Fantasy",339858,8.6,1
2,Gone with the Wind,12485,4,30s,"Drama,History,Romance",256446,8.2,1
3,The Wizard of Oz,12486,6,teenager,"Adventure,Family,Fantasy",342128,8.0,1
4,The Great Dictator,12585,2,50s,"Comedy,Drama,War",172952,8.5,1
5,Pinocchio,404833,6,teenager,"Animation,Comedy,Family",111035,7.5,1
6,Rebecca,12522,4,30s,"Drama,Mystery,Romance",107403,8.1,1
7,Citizen Kane,12543,5,20s,"Drama,Mystery",352700,8.4,1
8,Dumbo,11963,4,30s,"Animation,Drama,Family",102813,7.3,1
9,The Maltese Falcon,12470,3,40s,"Film-Noir,Mystery",136795,8.1,1
10,Bambi,35181,4,30s,"Animation,Drama,Family",112965,7.3,1
11,Casablanca,12470,3,40s,"Drama,Romance,War",460503,8.5,1
12,Double Indemnity,509180,4,30s,"Crime,Drama,Film-Noir",122163,8.3,1
13,Ladri di biciclette,522070,4,30s,Drama,120938,8.3,1
14,Rope,12534,4,30s,"Crime,Drama,Mystery",112106,8.0,1
15,The Third Man,12543,4,30s,"Film-Noir,Mystery,Thriller",138661,8.2,1
16,City Lights,12585,3,40s,"Comedy,Drama,Romance",139749,8.5,1
17,M - Eine Stadt sucht einen M̦rder,12511,5,20s,"Crime,Mystery,Thriller",122419,8.3,1
18,Modern Times,12585,3,40s,"Comedy,Drama,Family",181571,8.5,1
19,Snow White and the Seven Dwarfs,144399,5,20s,"Animation,Family,Fantasy",158470,7.6,1
20,All About Eve,12475,3,40s,Drama,103448,8.3,1
21,Cinderella,902078,5,20s,"Animation,Family,Fantasy",126426,7.3,1
22,Rash̫mon,12140,5,20s,"Crime,Drama,Mystery",128528,8.3,1
23,Sunset Blvd.,12497,4,30s,"Drama,Film-Noir",172127,8.4,1
24,Alice in Wonderland,75323,6,teenager,"Adventure,Animation,Family",112284,7.4,1
25,Strangers on a Train,336867,5,20s,"Crime,Film-Noir,Thriller",111345,8.0,1
26,Singin' in the Rain,12500,4,30s,"Comedy,Musical,Romance",188651,8.3,1
27,Peter Pan,235710,6,teenager,"Adventure,Animation,Family",107573,7.3,1
28,Roman Holiday,12523,4,30s,"Comedy,Romance",114931,8.1,1
29,Metropolis,364745,5,20s,"Drama,Sci-Fi",137747,8.3,1
30,Galaxy Quest,13204,3,40s,"Adventure,Comedy,Sci-Fi",135556,7.3,1
31,The Perfect Storm,12586,4,30s,"Action,Adventure,Drama",144481,6.4,0
32,Requiem for a Dream,11599,1,+60s,Drama,679094,8.3,1
33,Minority Report,12592,4,30s,"Action,Crime,Mystery",457606,7.7,1
34,Terminator 3: Rise of the Machines,12679,2,50s,"Action,Sci-Fi",341841,6.3,0
35,Traffic,12603,2,50s,"Crime,Drama,Thriller",183555,7.6,1
36,Almost Famous,11686,4,30s,"Adventure,Comedy,Drama",230504,7.9,1
37,Falling Down,12603,3,40s,"Crime,Drama,Thriller",152233,7.6,1
38,The Firm,12592,4,30s,"Drama,Mystery,Thriller",102692,6.8,0
39,The Fugitive,12611,2,50s,"Action,Crime,Drama",239306,7.8,1
40,Groundhog Day,12658,3,40s,"Comedy,Fantasy,Romance",525309,8.0,1
