StaringActorId,ActorAgeGapId,WriterId,GenreId,Success
12809,6,12918,10,0
12821,4,188309,15,1
12617,4,104395,15,0
12635,2,12696,14,1
12662,2,38643,1,1
12605,1,644244,1,1
12659,5,12659,3,0
12604,4,521446,1,1
144125,4,13063,3,1
12597,3,12194,14,1
12662,2,823037,14,1
12693,3,509883,15,0
509596,5,12963,3,1
12693,3,24711,15,0
11751,5,20845,3,0
12617,4,72003,10,0
12614,2,12429,14,1
12556,4,630901,1,1
13032,5,615406,3,0
339642,5,16753,1,1
11868,5,448262,1,0
12706,3,55585,14,1
12591,4,112133,17,1
11858,4,160272,14,1
11795,4,270131,3,0
12599,4,683474,8,0
12575,3,662276,15,0
12751,5,244557,14,1
12816,3,247495,15,1
12101,5,490611,15,1
12684,5,12694,1,1
13159,6,12638,10,1
12197,7,557781,10,1
12592,5,145597,15,0
13127,4,85495,1,0
12751,6,12383,1,1
144125,5,13063,3,1
13009,5,12503,1,1
12708,4,512852,17,1
12617,4,11552,15,1
13037,5,279288,3,1
12651,3,12918,3,1
12679,4,820112,15,1
12607,5,11883,10,1
12578,5,11657,3,1
13156,4,586637,15,1
12679,4,12638,15,0
12779,1,12779,10,0
12589,4,284041,14,1
12684,5,24854,14,1
390451,5,905293,15,1
12748,5,548886,3,1
12621,4,14188,3,1
13015,5,13015,3,0
12709,4,828000,15,1
12555,3,12555,3,1
13021,1,907318,3,1
618591,2,815174,1,1
12626,2,593898,1,1
12693,3,572961,15,0
810087,1,557781,11,1
12679,3,212373,3,0
11968,3,893937,10,1
140095,4,132909,11,1
12901,4,12579,10,1
12613,5,292990,10,1
12937,4,18625,15,1
12708,4,752372,3,1
12658,4,12564,15,0
12574,5,400588,17,1
12152,4,13871,10,0
12611,3,104395,15,1
12617,4,104395,15,0
77557,5,593499,11,1
12794,3,12918,3,1
12808,3,11792,3,1
386876,4,110945,3,1
13095,4,484674,3,1
12096,4,18567,14,1
12659,4,12659,15,0
12706,3,195787,14,0
12005,5,159933,15,0
12662,2,13948,1,0
12594,4,384318,3,1
17169,6,13099,3,1
199848,5,80563,1,1
12887,4,202934,3,0
12583,4,26742,17,1
12659,4,789741,10,1
12817,5,489731,14,1
17439,6,44681,3,1
12621,3,515328,3,0
513420,6,538239,15,1
12602,5,268790,3,0
18829,5,839853,14,1
12669,4,865595,15,1
12705,5,98230,15,0
105847,6,859206,18,0
12737,5,882531,18,0
12817,5,377631,14,1
12578,4,12429,8,0
569998,5,890711,18,0
17085,5,20528,15,0
879060,3,174971,11,1
497248,5,348091,11,1
12583,4,268800,3,0
268626,5,175179,14,0
17169,5,11942,15,0
12792,3,570337,15,0
339023,5,34007,15,1
234636,5,591195,18,0
12578,4,340267,15,0
12617,3,708419,15,0
13111,4,893199,15,0
12621,4,17161,10,1
12709,4,20636,8,1
12691,4,20390,14,1
12589,4,669759,15,0
12583,4,390847,3,0
12609,4,622135,1,1
12976,3,11657,14,1
12635,2,470248,15,1
